series,edition,page,table,header
면적,1977,20,3. 구ㆍ시ㆍ군별 면적 및 행정단위,"20- 토지 및 기후. ⏐ 3. 구•시 •군별면적및행정단위 ⏐ ※ 1976년 12월 31일 현재 ⏐ 면 적 (km?) 행 정 단 위 A.dministrative unit ⏐ 0org 청 ⏐ 구성비 동 읍 리 •동 통, 부락 반 출장소 Branch of ⏐ Area Compo- 행 , 정법 시•도쿠.시윤•면 ⏐ (sq km) sition Admini- Eub Myeon Ri, Dong Village Tong; Ban 군 Gu, Eu0, ⏐ % strative | Legal Provincal S, Gun | Myeon ⏐ 서울특별식 City of Seoul 100.0 471 8 685 56 711 3 ⏐ 동로구 Jongro Gu 3.9 423 2 558 ⏐ 충 구 Jung Gu 1.6 75 - 387 2 516"
면적,1978,19,2. 시ㆍ도별 면적 및 행정단위,"[패한인국 ~ ⏐ 도서관 ⏐ Land and Climate-19 ⏐ 1. 위 치 ⏐ Location ⏐ 경 도 극 점 ⏐ 극 점 ⏐ Name of place Extrome ⏐ Eastermn otremi,y 동 경상북도 울릉군 독도 동문 E&sr 10o1gihig 131°52'42"" ⏐ East extreme of Dokdo, Ulreung Gun, Gyeongsong Bug D ⏐ 평안북도 용천군 마안도 서단 124°11'0” ⏐ West extrame of Ma-ando, Yongcheon Gun, Pyeongon Bug Do"
면적,1978,20,3. 구ㆍ시ㆍ군별 면적 및 행정단위,"20-토지 및 기후 ⏐ 3. 구•시 •군별면적및행정단위 ⏐ ※ 1977년 12월 31일 현재 ⏐ 면 적(km?) 구 시야 ⏐ Area Gu ⏐ (Sq.km) 구성.비 3) 3) 동 Dong ⏐ Composition 구데 & 행 전법 통 반 부.. 라 ⏐ % Administ- "" Legal 정 Tone Bar Villoge ⏐ rative ⏐ 서 불별 611.24 100.0 13 [I] 8 765 50254 ⏐ 24.15 4.0 423 ⏐ 10. 00 1.6 387"
면적,1979,19,2. 시ㆍ도별 면적 및 행정단위,"Land and Climate-19 ⏐ 1. 위 ⏐ Location ⏐ 경 도 N htene o fosthito cons lotluco 점 ⏐ 지 극 점 ⏐ Name of Place Exrreme ⏐ 경상북도 울릉군 독도 동단 13152'42"" ⏐ East extreme of Dokdo, Ulreung Gun, Gyeongsang Bug Do ⏐ ⅝0n &ttom 평안북도 옹천군 마안도 서단 124°110~ ⏐ West extreme of Ma-ondo, Yongcheon Gun, Pyeongan Bug Do ⏐ GSithorn oatronit 33°06'40"" ⏐ Morthemn otromity 북 함경북도 온성군 유포진 북단 43°g'39"""
면적,1979,20,3. 구ㆍ시ㆍ군별 면적 및 행정단위,20-토지 및 기후 ⏐ 3. 구•지•군별면적및행정단위 ⏐ ※ 1978년 12월 31일 현재 ⏐ 구 시 ⏐ Area Gu. Si ⏐ (Sq. km) 구성 비 행 정 동 Dong 통 반 부 락 ⏐ Composition Administ- 법 정 Tong Ban village ⏐ % 'Legal ⏐ rative ⏐ 서 .울특별 시구구구구구구구구구구구구구 627. 06 100. 0 ~ 13 473 9 456 58 727 ⏐ 증중동성성도서마용영관강강 로 24.10 3.8 87 420 2 486 ⏐ 3.32 1.6 75 387 2 374
면적,1980,19,2. 시ㆍ도별 면적 및 행정단위,"Land and Climate-19 ⏐ 1. 위 ⏐ Location ⏐ 경 도 Blnene oi Tengiudto on Tottude 의 국 점 ⏐ 지 점 ⏐ Name of place Extreme ⏐ Flareom oxtiomns 경상북도 울릉군 독도 동단 Eost ongihuag 131°52/42"" ⏐ East axtreme of Dokdo, Uireung Gun, Gyeongsang Bug Do ⏐ Wosron ottomitf 평안북도 용천군 마안도 서단 동 124°11'0~ ⏐ West extreme of Maando, Yongcheon Gun, Pyeongan Bug Do ⏐ 구 남 제주도 남제주군 마라도 남단 북 위 33°06'40"" ⏐ Southern extremity South extreme of Marado, Namieiu Gun, Jeiu Do North latitude"
면적,1980,20,3. 구ㆍ시ㆍ군별 면적 및 행정단위,20-토지 및 기후 ⏐ 3. 구•시•군별면적및행정단위 ⏐ ※ 1979년 12월 31일 현재 ⏐ 면 적 (kma) 구 시히 ⏐ Area Gu ⏐ (Sq. km} 동 Dong ⏐ 구성비 시 구 정 |법 졍 통 반 부 락 ⏐ Comgesihion Administ- ⏐ §I Gu rative Legal Tong Ban Village ⏐ 서 울 특 별 607.28 100.0 1 §3~77- 382 9 875 61 351 ⏐ 로 24.00 4.0 22 420 ⏐ 10. 00 1.6 - 20 378
면적,1981,19,2. 시ㆍ도별 면적 및 행정단위,"1. Land and Climate - 19\ ⏐ 1. 위 ⏐ Location ⏐ 경 도 의 극 점 ⏐ Exireme of konginde and latiude ⏐ 지 극 점 ⏐ Name of place Extreme ⏐ Eastern cxtremty 동 경상북도. 울릉군 독도 동단 131•52:•42° ⏐ East extreme of Dokdo, UIreung Cun, Gyeongsang Bug Do ⏐ Netem sxtremiy 서 평안북도 용천군 마안도 서단 124110~ ⏐ West exireme of Maardo. Yorgcheon Gun, Pyeongan Bug Do ⏐ Souhem alremy 남 제주도 남제수군 마라도 남단 33•06•40"
면적,1981,20,3. 구ㆍ시ㆍ군별 면적 및 행정단위,20-1. 토지 및 기후 ⏐ 3. 구•시 •군별면적 및행정단위 ⏐ ※ 1980년 12월 31일 현재 ⏐ 면적 (km2) 구 시 ⏐ Cu si ⏐ Area ⏐ ( Sq.km) 구성비 시 구 동 Dons 통 반 부 락 ⏐ Composition 행 정 법 정 ⏐ % Si Gu Adminis- trative Legal Tong Ban Village ⏐ 서 시 T993 E939 F359T& 8SHS FFEES & FFS: 8ASS ATESS &SEESY FFAS .... 믿터가에 영망이상에 내 팀음시이게 마친도모자 내 전연도수대지의 주은다다방 이모남것으 왜 11 011 ⏐ 로 구수 = 420 ⏐ 372
면적,1982,19,2. 시ㆍ도별 면적 및 행정단위,"I. Land and.Clmate- 19 ⏐ 1. 위 ⏐ Location ⏐ 경 도 및 위 도 의 극 점 ⏐ Extreme of longitude and la titude칩 ⏐ 지 명 극 점 ⏐ Name of place Extreme ⏐ Eastem oxttemty 동 경상북도 울릉군 독도 동단 131°52/42 ⏐ East extreme of Dokdo, Uilreung Gun, Gyeongsang Bug Do ⏐ Western exttemty 서 평안북도 용천군 마안도 서단 124°11' 0"" ⏐ West extreme of Maando, Yongcheon Giun, Pyeongan Bug Do ⏐ Southern extremty 남 제주도 남제중군 마라도 남단 33°06'40"" .'"
