연도,국가,국가코드,1인당GDP_2015불변USD,지표코드,source_url,retrieved
2022,한국,KOR,35809.0138105144,NY.GDP.PCAP.KD,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/NY.GDP.PCAP.KD?format=json&per_page=300&date=1960:2024,2026-08-19
2023,한국,KOR,36347.7036392553,NY.GDP.PCAP.KD,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/NY.GDP.PCAP.KD?format=json&per_page=300&date=1960:2024,2026-08-19
2024,한국,KOR,37048.4264001496,NY.GDP.PCAP.KD,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/NY.GDP.PCAP.KD?format=json&per_page=300&date=1960:2024,2026-08-19
1960,일본,JPN,6481.37442274053,NY.GDP.PCAP.KD,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/NY.GDP.PCAP.KD?format=json&per_page=300&date=1960:2024,2026-08-19
1961,일본,JPN,7197.18214473058,NY.GDP.PCAP.KD,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/NY.GDP.PCAP.KD?format=json&per_page=300&date=1960:2024,2026-08-19
1962,일본,JPN,7765.88292703689,NY.GDP.PCAP.KD,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/NY.GDP.PCAP.KD?format=json&per_page=300&date=1960:2024,2026-08-19
1963,일본,JPN,8338.99399083672,NY.GDP.PCAP.KD,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/NY.GDP.PCAP.KD?format=json&per_page=300&date=1960:2024,2026-08-19
1964,일본,JPN,9216.32221560597,NY.GDP.PCAP.KD,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/NY.GDP.PCAP.KD?format=json&per_page=300&date=1960:2024,2026-08-19
1965,일본,JPN,9648.24054656205,NY.GDP.PCAP.KD,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/NY.GDP.PCAP.KD?format=json&per_page=300&date=1960:2024,2026-08-19
1966,일본,JPN,10577.5937769986,NY.GDP.PCAP.KD,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/NY.GDP.PCAP.KD?format=json&per_page=300&date=1960:2024,2026-08-19
1967,일본,JPN,11628.8833173252,NY.GDP.PCAP.KD,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/NY.GDP.PCAP.KD?format=json&per_page=300&date=1960:2024,2026-08-19
1968,일본,JPN,12979.860485465,NY.GDP.PCAP.KD,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/NY.GDP.PCAP.KD?format=json&per_page=300&date=1960:2024,2026-08-19
1969,일본,JPN,14426.9406553992,NY.GDP.PCAP.KD,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/NY.GDP.PCAP.KD?format=json&per_page=300&date=1960:2024,2026-08-19
1970,일본,JPN,14318.6588003477,NY.GDP.PCAP.KD,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/NY.GDP.PCAP.KD?format=json&per_page=300&date=1960:2024,2026-08-19
1971,일본,JPN,14666.1228715572,NY.GDP.PCAP.KD,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/NY.GDP.PCAP.KD?format=json&per_page=300&date=1960:2024,2026-08-19
1972,일본,JPN,15678.891945691,NY.GDP.PCAP.KD,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/NY.GDP.PCAP.KD?format=json&per_page=300&date=1960:2024,2026-08-19
1973,일본,JPN,16701.6297669361,NY.GDP.PCAP.KD,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/NY.GDP.PCAP.KD?format=json&per_page=300&date=1960:2024,2026-08-19
1974,일본,JPN,16279.1053900856,NY.GDP.PCAP.KD,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/NY.GDP.PCAP.KD?format=json&per_page=300&date=1960:2024,2026-08-19
1975,일본,JPN,16570.1490384468,NY.GDP.PCAP.KD,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/NY.GDP.PCAP.KD?format=json&per_page=300&date=1960:2024,2026-08-19
1976,일본,JPN,17045.1784418847,NY.GDP.PCAP.KD,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/NY.GDP.PCAP.KD?format=json&per_page=300&date=1960:2024,2026-08-19
1977,일본,JPN,17622.1033093596,NY.GDP.PCAP.KD,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/NY.GDP.PCAP.KD?format=json&per_page=300&date=1960:2024,2026-08-19
1978,일본,JPN,18383.0750924035,NY.GDP.PCAP.KD,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/NY.GDP.PCAP.KD?format=json&per_page=300&date=1960:2024,2026-08-19
1979,일본,JPN,19227.734800588,NY.GDP.PCAP.KD,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/NY.GDP.PCAP.KD?format=json&per_page=300&date=1960:2024,2026-08-19
1980,일본,JPN,19614.2922299856,NY.GDP.PCAP.KD,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/NY.GDP.PCAP.KD?format=json&per_page=300&date=1960:2024,2026-08-19
1981,일본,JPN,20291.567958628,NY.GDP.PCAP.KD,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/NY.GDP.PCAP.KD?format=json&per_page=300&date=1960:2024,2026-08-19
1982,일본,JPN,20818.8044337152,NY.GDP.PCAP.KD,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/NY.GDP.PCAP.KD?format=json&per_page=300&date=1960:2024,2026-08-19
1983,일본,JPN,21402.8665366541,NY.GDP.PCAP.KD,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/NY.GDP.PCAP.KD?format=json&per_page=300&date=1960:2024,2026-08-19
1984,일본,JPN,22221.8862508533,NY.GDP.PCAP.KD,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/NY.GDP.PCAP.KD?format=json&per_page=300&date=1960:2024,2026-08-19
1985,일본,JPN,23238.9252243658,NY.GDP.PCAP.KD,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/NY.GDP.PCAP.KD?format=json&per_page=300&date=1960:2024,2026-08-19
1986,일본,JPN,23884.4841642864,NY.GDP.PCAP.KD,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/NY.GDP.PCAP.KD?format=json&per_page=300&date=1960:2024,2026-08-19
1987,일본,JPN,24894.0912634322,NY.GDP.PCAP.KD,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/NY.GDP.PCAP.KD?format=json&per_page=300&date=1960:2024,2026-08-19
1988,일본,JPN,26472.7749041278,NY.GDP.PCAP.KD,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/NY.GDP.PCAP.KD?format=json&per_page=300&date=1960:2024,2026-08-19
1989,일본,JPN,27648.0847646202,NY.GDP.PCAP.KD,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/NY.GDP.PCAP.KD?format=json&per_page=300&date=1960:2024,2026-08-19
1990,일본,JPN,28904.7658863073,NY.GDP.PCAP.KD,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/NY.GDP.PCAP.KD?format=json&per_page=300&date=1960:2024,2026-08-19
1991,일본,JPN,29775.391651584,NY.GDP.PCAP.KD,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/NY.GDP.PCAP.KD?format=json&per_page=300&date=1960:2024,2026-08-19
1992,일본,JPN,29916.6529957081,NY.GDP.PCAP.KD,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/NY.GDP.PCAP.KD?format=json&per_page=300&date=1960:2024,2026-08-19
1993,일본,JPN,29665.3871017287,NY.GDP.PCAP.KD,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/NY.GDP.PCAP.KD?format=json&per_page=300&date=1960:2024,2026-08-19
1994,일본,JPN,29876.454752764,NY.GDP.PCAP.KD,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/NY.GDP.PCAP.KD?format=json&per_page=300&date=1960:2024,2026-08-19
1995,일본,JPN,30504.5332529005,NY.GDP.PCAP.KD,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/NY.GDP.PCAP.KD?format=json&per_page=300&date=1960:2024,2026-08-19
1996,일본,JPN,31371.432405964,NY.GDP.PCAP.KD,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/NY.GDP.PCAP.KD?format=json&per_page=300&date=1960:2024,2026-08-19
1997,일본,JPN,31723.3382538425,NY.GDP.PCAP.KD,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/NY.GDP.PCAP.KD?format=json&per_page=300&date=1960:2024,2026-08-19
1998,일본,JPN,31076.4386626557,NY.GDP.PCAP.KD,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/NY.GDP.PCAP.KD?format=json&per_page=300&date=1960:2024,2026-08-19
1999,일본,JPN,30911.9243180534,NY.GDP.PCAP.KD,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/NY.GDP.PCAP.KD?format=json&per_page=300&date=1960:2024,2026-08-19
2000,일본,JPN,31779.3788459032,NY.GDP.PCAP.KD,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/NY.GDP.PCAP.KD?format=json&per_page=300&date=1960:2024,2026-08-19
2001,일본,JPN,31793.1269485489,NY.GDP.PCAP.KD,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/NY.GDP.PCAP.KD?format=json&per_page=300&date=1960:2024,2026-08-19
2002,일본,JPN,31746.2430105713,NY.GDP.PCAP.KD,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/NY.GDP.PCAP.KD?format=json&per_page=300&date=1960:2024,2026-08-19
2003,일본,JPN,32115.5810785373,NY.GDP.PCAP.KD,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/NY.GDP.PCAP.KD?format=json&per_page=300&date=1960:2024,2026-08-19
2004,일본,JPN,32783.1292835489,NY.GDP.PCAP.KD,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/NY.GDP.PCAP.KD?format=json&per_page=300&date=1960:2024,2026-08-19
2005,일본,JPN,33385.9179590327,NY.GDP.PCAP.KD,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/NY.GDP.PCAP.KD?format=json&per_page=300&date=1960:2024,2026-08-19
2006,일본,JPN,33880.6890093456,NY.GDP.PCAP.KD,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/NY.GDP.PCAP.KD?format=json&per_page=300&date=1960:2024,2026-08-19
2007,일본,JPN,34426.6937124867,NY.GDP.PCAP.KD,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/NY.GDP.PCAP.KD?format=json&per_page=300&date=1960:2024,2026-08-19
2008,일본,JPN,34008.5915147362,NY.GDP.PCAP.KD,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/NY.GDP.PCAP.KD?format=json&per_page=300&date=1960:2024,2026-08-19
2009,일본,JPN,31993.8588053706,NY.GDP.PCAP.KD,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/NY.GDP.PCAP.KD?format=json&per_page=300&date=1960:2024,2026-08-19
2010,일본,JPN,33311.2872381879,NY.GDP.PCAP.KD,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/NY.GDP.PCAP.KD?format=json&per_page=300&date=1960:2024,2026-08-19
2011,일본,JPN,33306.1802259719,NY.GDP.PCAP.KD,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/NY.GDP.PCAP.KD?format=json&per_page=300&date=1960:2024,2026-08-19
2012,일본,JPN,33909.4911855243,NY.GDP.PCAP.KD,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/NY.GDP.PCAP.KD?format=json&per_page=300&date=1960:2024,2026-08-19
2013,일본,JPN,34636.6924746166,NY.GDP.PCAP.KD,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/NY.GDP.PCAP.KD?format=json&per_page=300&date=1960:2024,2026-08-19
2014,일본,JPN,34996.8796756631,NY.GDP.PCAP.KD,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/NY.GDP.PCAP.KD?format=json&per_page=300&date=1960:2024,2026-08-19
2015,일본,JPN,35664.6446110613,NY.GDP.PCAP.KD,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/NY.GDP.PCAP.KD?format=json&per_page=300&date=1960:2024,2026-08-19
2016,일본,JPN,35934.4467886662,NY.GDP.PCAP.KD,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/NY.GDP.PCAP.KD?format=json&per_page=300&date=1960:2024,2026-08-19
2017,일본,JPN,36547.7357437305,NY.GDP.PCAP.KD,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/NY.GDP.PCAP.KD?format=json&per_page=300&date=1960:2024,2026-08-19
2018,일본,JPN,36899.3847079435,NY.GDP.PCAP.KD,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/NY.GDP.PCAP.KD?format=json&per_page=300&date=1960:2024,2026-08-19
2019,일본,JPN,36837.2583653113,NY.GDP.PCAP.KD,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/NY.GDP.PCAP.KD?format=json&per_page=300&date=1960:2024,2026-08-19
2020,일본,JPN,35363.2996951789,NY.GDP.PCAP.KD,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/NY.GDP.PCAP.KD?format=json&per_page=300&date=1960:2024,2026-08-19
2021,일본,JPN,36792.556429474,NY.GDP.PCAP.KD,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/NY.GDP.PCAP.KD?format=json&per_page=300&date=1960:2024,2026-08-19
2022,일본,JPN,37448.3504824849,NY.GDP.PCAP.KD,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/NY.GDP.PCAP.KD?format=json&per_page=300&date=1960:2024,2026-08-19
2023,일본,JPN,37902.5492204411,NY.GDP.PCAP.KD,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/NY.GDP.PCAP.KD?format=json&per_page=300&date=1960:2024,2026-08-19
2024,일본,JPN,37976.6371788298,NY.GDP.PCAP.KD,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/NY.GDP.PCAP.KD?format=json&per_page=300&date=1960:2024,2026-08-19
