연도,국가,국가코드,합계출산율_명,지표코드,source_url,retrieved
1964,일본,JPN,2.05,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
1965,일본,JPN,2.14,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
1966,일본,JPN,1.58,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
1967,일본,JPN,2.23,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
1968,일본,JPN,2.13,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
1969,일본,JPN,2.13,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
1970,일본,JPN,2.13,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
1971,일본,JPN,2.16,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
1972,일본,JPN,2.14,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
1973,일본,JPN,2.14,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
1974,일본,JPN,2.05,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
1975,일본,JPN,1.91,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
1976,일본,JPN,1.85,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
1977,일본,JPN,1.8,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
1978,일본,JPN,1.79,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
1979,일본,JPN,1.77,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
1980,일본,JPN,1.75,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
1981,일본,JPN,1.74,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
1982,일본,JPN,1.77,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
1983,일본,JPN,1.8,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
1984,일본,JPN,1.81,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
1985,일본,JPN,1.76,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
1986,일본,JPN,1.72,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
1987,일본,JPN,1.69,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
1988,일본,JPN,1.66,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
1989,일본,JPN,1.57,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
1990,일본,JPN,1.54,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
1991,일본,JPN,1.53,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
1992,일본,JPN,1.5,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
1993,일본,JPN,1.46,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
1994,일본,JPN,1.5,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
1995,일본,JPN,1.42,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
1996,일본,JPN,1.43,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
1997,일본,JPN,1.39,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
1998,일본,JPN,1.38,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
1999,일본,JPN,1.34,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
2000,일본,JPN,1.36,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
2001,일본,JPN,1.33,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
2002,일본,JPN,1.32,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
2003,일본,JPN,1.29,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
2004,일본,JPN,1.29,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
2005,일본,JPN,1.26,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
2006,일본,JPN,1.32,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
2007,일본,JPN,1.34,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
2008,일본,JPN,1.37,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
2009,일본,JPN,1.37,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
2010,일본,JPN,1.39,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
2011,일본,JPN,1.39,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
2012,일본,JPN,1.41,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
2013,일본,JPN,1.43,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
2014,일본,JPN,1.42,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
2015,일본,JPN,1.45,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
2016,일본,JPN,1.44,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
2017,일본,JPN,1.43,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
2018,일본,JPN,1.42,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
2019,일본,JPN,1.36,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
2020,일본,JPN,1.33,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
2021,일본,JPN,1.3,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
2022,일본,JPN,1.26,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
2023,일본,JPN,1.2,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
2024,일본,JPN,1.15,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
