series,edition,page,table,header
금융,1966,285,245. 금융기관 도별 예금 및 대출금,Money and Bankang 267 ⏐ 245 숲평 *R03T쇼 및 쓸버숲 ⏐ DEPOSITS AND LOANS OF BANKING INSTITUTIONS BY PROVINCES ⏐ 별쇼 더회원 In mnllson won ⏐ * 서 을 쑈. ! 하 쑔ㄿ # 숲 파 ⏐ End of year Total value옓 Seoul Busan Gyeong gi Gang weon Churg bug Chung nam Jeon bug Jeon-nam IGyeong bug Gyeong-nam J€ ⏐ 숲 Deposits ⏐ 1953 1 055 439 - 39 18 56 43 46 102 282 8 ⏐ 1954 2 618 1 004 146 64 134 121 165 29] 606 14 ⏐ 1955 4 624 1 896 219 103 253 181 266 487 1 060 23 ⏐ 1956 7 494 3 406 386 159 377 273 367 748 1 528 31 ⏐ 1957 8 081 4 198 381 144 332 256 371 728 1 458 37
금융,1966,285,246. 금융기관 주요도시별 예금 및 대출금,Money and Bankang 267 ⏐ 245 숲평 *R03T쇼 및 쓸버숲 ⏐ DEPOSITS AND LOANS OF BANKING INSTITUTIONS BY PROVINCES ⏐ 별쇼 더회원 In mnllson won ⏐ * 서 을 쑈. ! 하 쑔ㄿ # 숲 파 ⏐ End of year Total value옓 Seoul Busan Gyeong gi Gang weon Churg bug Chung nam Jeon bug Jeon-nam IGyeong bug Gyeong-nam J€ ⏐ 숲 Deposits ⏐ 1953 1 055 439 - 39 18 56 43 46 102 282 8 ⏐ 1954 2 618 1 004 146 64 134 121 165 29] 606 14 ⏐ 1955 4 624 1 896 219 103 253 181 266 487 1 060 23 ⏐ 1956 7 494 3 406 386 159 377 273 367 748 1 528 31 ⏐ 1957 8 081 4 198 381 144 332 256 371 728 1 458 37
금융,1967,345,242. 금융기관 도별 예금 및 대출금,Money and Banking 327 ⏐ 242 쇼제8 R0T숲 및 솥비숲 ⏐ DEPOSITS AND LOANS OF BANKING INSTITUTIONS BY PROVINCES ⏐ 목 : 피흡원 In million won ⏐ 쇽 * ※ㄿ #.. ₩술 #죽파 ⏐ End of year Total value Busan Gyeonggl Gangweon Chungbug Chungnam Jeonbug Jeonnam Gyeongbug Gyeong- Jetu ⏐ nam ⏐ 숲 Deposits ⏐ 1954 2 618 1 004 146 64 74 134 121 165 291 606 ⏐ 1955 4 624 1 896 219 103 137 253 181 266 487 1 060 ⏐ 7956 7 494 3 406 386 159 22] 377 273 367 748 1 525 ⏐ 1957 8 081 4 198 381 144 176 256 371 728 1 458
금융,1967,345,243. 금융기관 주요도시별 예금 및 대출금,Money and Banking 327 ⏐ 242 쇼제8 R0T숲 및 솥비숲 ⏐ DEPOSITS AND LOANS OF BANKING INSTITUTIONS BY PROVINCES ⏐ 목 : 피흡원 In million won ⏐ 쇽 * ※ㄿ #.. ₩술 #죽파 ⏐ End of year Total value Busan Gyeonggl Gangweon Chungbug Chungnam Jeonbug Jeonnam Gyeongbug Gyeong- Jetu ⏐ nam ⏐ 숲 Deposits ⏐ 1954 2 618 1 004 146 64 74 134 121 165 291 606 ⏐ 1955 4 624 1 896 219 103 137 253 181 266 487 1 060 ⏐ 7956 7 494 3 406 386 159 22] 377 273 367 748 1 525 ⏐ 1957 8 081 4 198 381 144 176 256 371 728 1 458
금융,1968,291,219. 금융기관 도별 예금 및 대출금,Money aand Banking 273 ⏐ 219 숲품 R3쇼 및 실비숲 ⏐ DEPOSITS AND LOANS OF BANKING INSTITUTIONS BY PROVINCES ⏐ 보요 : 패흡원 In miliron won ⏐ 속: 카 충촌 원 서 울 쏘. 니③ 흡맛 # 죽 ㅆ#맛과 ⏐ End of year Total vaibe Seoul Buson Gyeonggt Gangweon Chungbug Chungnam Jeonbug Jeorinaim Gyeongbug Gyeongnain Jeiu ⏐ 숲 Deposits:t) ⏐ 1956 7 494 3 406 386 22] 377 273 367 748 1 525 31 ⏐ 1957 8 081 4 198 381 144 176 332 256 371 728 1 458 37 ⏐ 1958 11 527 6 025 530 200 234 443 313 524 1 131 2 087 40 ⏐ 1959 13 696 7 548 592 324 318 520 398 590 1 256 2 098 52 ⏐ 1960 17 094 9 565 631 4 338 601 480 666 485 2 858 76
금융,1968,291,220. 금융기관 주요도시별 예금 및 대출금,Money aand Banking 273 ⏐ 219 숲품 R3쇼 및 실비숲 ⏐ DEPOSITS AND LOANS OF BANKING INSTITUTIONS BY PROVINCES ⏐ 보요 : 패흡원 In miliron won ⏐ 속: 카 충촌 원 서 울 쏘. 니③ 흡맛 # 죽 ㅆ#맛과 ⏐ End of year Total vaibe Seoul Buson Gyeonggt Gangweon Chungbug Chungnam Jeonbug Jeorinaim Gyeongbug Gyeongnain Jeiu ⏐ 숲 Deposits:t) ⏐ 1956 7 494 3 406 386 22] 377 273 367 748 1 525 31 ⏐ 1957 8 081 4 198 381 144 176 332 256 371 728 1 458 37 ⏐ 1958 11 527 6 025 530 200 234 443 313 524 1 131 2 087 40 ⏐ 1959 13 696 7 548 592 324 318 520 398 590 1 256 2 098 52 ⏐ 1960 17 094 9 565 631 4 338 601 480 666 485 2 858 76
금융,1969,358,230. 금융기관 도별예금 및 대출금,340 금 융 ⏐ 229 요구불예금회전율 (일반은행) ⏐ TURNOVER OF DEMAND DEPOSITS (COMMERCIAL BANKS) ⏐ 단위 •백만원 .좌예 In million won ⏐ 요구불예 금합계3 금 보 통 예 금 별 단 여 금 ⏐ 연월 중) Total demand deposits Passbook depostts Temporary deposits ⏐ 지불액평균잔액회전율지불액평균잔액회 전율지_불액평균잔액회 전율 지 불 액 곤 :잔액 ⏐ Total Average Total Averags Turnover Average Turnover Total Averoge ⏐ Durmg wthdrawals| balance Turnover withorowols bclance withdrawals balance withdrawals . balance ⏐ (A) (B) (A/B) (B) 1A/B) (A) (B) (A/B1 {A) (B) ⏐ 1957 36 135 4 722 7. 6 18 492 1 630 11.3 5 138 2 141 2.4 12 604 952 ⏐ 1958 41 751 6 413 6.5 19 917 1 880 10. 6 7 026 3 324 2.1 14 808 1 210
금융,1969,359,231. 금융기관 주요도시별 예금 및 대출금,"Money and Banking 341 ⏐ 231 금융기관 주요도시별 금 및 대출금"" ⏐ DEPOSIIS AND LOANS OF BANKING INSTITDTIONS IN PRINCIPAL CITIESI ⏐ 단위 : 백민원 In milion t0om ⏐ 연월.말 총 액 서 울 인 천 부 산 대 구 대 전 포 청 주 광 주 전 주 춘 천 ⏐ End of Total value Seoul Incheon Busan Daegu Daejeon Mokpo Cheongu Gwanglu Jeoniu Chuncheon ⏐ 예 금” Deposifs?) ⏐ 1956 5 689 3 406 1 086 450 53 110 95 54 ⏐ 1957 6 524 4 198 1 149 485 75 66 54 ⏐ 1958 9 481 6 025 1 684 783 98 60 ⏐ 1959 11 114 7 548 1 593 798 148 69 ⏐ 1960 13 777 9 565 1 927 882 164 126"
금융,1970,396,252. 금융기관 도별 예금 및 대출금,"376 금융 ⏐ 251 일반은행요구불 예금회전율"") ⏐ TURNOVER OF DEMAND DEPOSIIS AT COMMERCIAL BANKSDD ⏐ 단위 "" 금액-백 만원 ⏐ 회전율-회 ⏐ 요구불예금총액3 당 좌예금 보통 예 금 ⏐ Total demand depostts Checking deposits Passbook deposits Temporary deposits ⏐ 연월 중직 지급액평균잔액 회전율지급액 평균잔액 회 전 율지.급액|평균잔액회 전율 지급액 | 평균잔액 |회 전 율 ⏐ During Total Average Total Average Total Average Tumover Total Average Turnover ⏐ withdrawals balance Turnover withdrawals balance withdrawals balance withdrawals balance ⏐ (A] (B) 1A/B) (A) (B) (A) (B) (A/B) (A) (8) 1A/B1 ⏐ 36 135 4 722 76 18 492 1 630 25 5 138 2141 2.4 12 604 952 13. 2"
금융,1970,397,253. 금융기관 주요도시별 예금 및 대출금,"Money & Banhing 377 ⏐ 253 금융기관 주요도시별 예금 및 대출금 ⏐ DEROSITS AND LOANS OF BANKING INSTITUTIONS IN PRINCPIAL CITIES ⏐ 단위 : 백 만원 In milion won ⏐ 총 액서 울 인천 부산 대 구대 전 목포청 주 광 주 전 주 춘천 . 제 주 (조정)"") ⏐ 열.월 말 End of Chunche- ⏐ Total value Seoul Inck.eon Busan Daesu Daejeon Mokpo Cheongiu Gwangu Jeontu Jetu (Aolustmont ⏐ 예 ⏐ 1 926 = 76 ⏐ 7 67 215 ⏐ 8 40 338 -89 ⏐ 1 68 285 -6"
