계열,판,쪽,표제목,header
지방세,2002,430,12. 지방자치단체 지역별 세출(일반회계)(1993~2000),428~XII. 재 정 ⏐ 12. 지방자치단체 지역별 세출(일반회계)(1993~2000) ⏐ 단위 : 10억원 ⏐ 전국 서울 부산 대구 인천 광주 대전 울 산 ⏐ 연도 ⏐ Total Seoul Busan Daeau Incheon Grwangiu Daejeon Uisan ⏐ 총 계 ⏐ 1993 24 220.4 4 501.1 1 658.3 964.5 841.1 622.0 624.7 ⏐ 1994 30 340.5 4 803.4 2 036.4 1 315.5 987.5 715.4 780.4 ⏐ 1995 35 791.8 5 391.5 2 289.5 1 666.0 1 375.1 803.2 861.0 ⏐ 1996 42 934.6 7 069.6 2 485.7 1 70.6 1 631.7 956.5 952.8 ⏐ 1997 50 532.1 8 538.9 2 802.8 2 255.2 171.6 1 237.0 1 066.1 634.2
지방세,2003,476,11. 지방자치단체 지역별 세입(일반회계),474 - XI. 재 정 ⏐ 11. 지방자치단체 지역별 세입(일반회계) ⏐ 단위 : 10억원 ⏐ 전국 서울 부산 대구 인천 광주 대 전 울 산 ⏐ Total Seoul Busan Daegu Inchon Gwangju Daejeon Ulsan ⏐ 총 계 ⏐ 1996 54 965.1 8 948.1 2 931.3 2 163.6 1 899.8 1 349.6 1 114.1 960 ⏐ 1997 62 017.6 9 771.9 3 111.5 2 701.0 2 057.9 1 581.2 1 194.9 ⏐ 1998 62 702.4 8 796.0 2 936.2 2 658.4 2 069.5 1 551.9 1 190.4 871.6 ⏐ 1999 66 944.0 9 654.3 3 453.5 2 708.0 2 378.1 1 807.2 1 293.7 1 09.0 ⏐ 2000 71 431.4 10 997.0 3 516.7 2444.0 2 540.6 1 007.7 1 375.8\ 1 191.5 ⏐ 2001 87 084.4 13 078.6 4 088.8 2 943.4 3 116.0 1 859.7 1711.5 1 347.2
지방세,2003,478,12. 지방자치단체 지역별 세출(일반회계),"476-XI.재 정 ⏐ 12. 지방자치단체 지역별 세출(일반회계) ⏐ 단위 : 10억원 ⏐ 전국 서울 부산 대구 인천 광주 대 전 울 산 ⏐ Total Seoul Busan Daegu Incheon Gwangiu Daejeon Ulsan ⏐ 종 계 ⏐ 1996 42 934.6 7 069.6 2 485.7 1 770.6 1 631.7 956.5 952.8 82,2 ⏐ 1997 50 532.1 8 538.9 2 802.8 2 255.2 1 71.6 1 237.0 1 066.1 ⏐ 1998 51 520.5 8 119.4 2 631.2 2 219.1 1 7570 1 226.5 1 048.8 666.6 ⏐ 1999 S4 496.7 8 467.0 2 993.6 2 279.2 2 050.8 1 309.0 1 120.5 855.2 ⏐ 2000 57 814.6 9 598.8 3 084.2 2 126.9 2 145.5 1 3015 I 160.2 953.7 ⏐ 2001 70 100.5 11 226.7 351.0 2 515.2 2 610.4 1 566.3 1 436.7 1 0?1.0"
지방세,2004,548,13. 지방자치단체 지역별 세입결산(일반회계),544 - XI. 재정 ⏐ 13. 지방자치단체 지역별 세입결산( 일반회계) ⏐ 단위 : 10억원 ⏐ 전국 서 울 부산 대구 인천 광주 대 전 울 산 ⏐ Total Seoul Busan Daegu Incheon Gwangju Daejeon Ulsan ⏐ 총 계 ⏐ 1997 62 017.6 9 ㄲ.9 311.5 2 701.0 2 057.9 1 581.2 1 194.9 976. 0 ⏐ 1998 62 702.4 8 796.0 2 936.2 2 658.4 2 069.5\ 1 551. 9 1 190.4 871.6 ⏐ 1999 66 944.0 9 654. 3 3 453.5 2 708.0 2 378.1 1 607.2 1 293.7 1 099.0 ⏐ 2000 거1 431.4 10 997. 0 3 516.7 2 444. 0 2 540. 6 1 607.7 1 375.8 1 191.5 ⏐ 2001 87 084.4 13 078.6 4 088.8 2 943.4 3 116.0 1 859.7 1 711.5 1 347.2 ⏐ 2002 106 268.9 14 912.5 5 100.9 3 060. 4 3 476.5 2 006.8 1 954. 8 1 568.8
지방세,2004,550,14. 지방자치단체 지역별 세출결산(일반회계),546 - XL. 재정 ⏐ 14. 지방자치단체 지역별 세출결산(일반회계) ⏐ 단위: 10억원 ⏐ 전국 서 울 부산 대구 인천 광주 대 전 울 산 ⏐ Total Seoul Busan Daegu Incheon Gwangju Daejeon Ulsan ⏐ 총 계 ⏐ 1997 50 532.1 8 538.9 2 802.8 2 255.2 1 ㄲ.6 1 237.0 1 066.1 634.2 ⏐ 1998 51 520.5 8 119.4 2 631.2 2219.1 1 757.0 1 226.5 1 048.8 666.6 ⏐ 1999 54 496.7 8 467.0 2 993.6 2 279.2 2 050.8 1 309.0 1 120.5 855.2 ⏐ 2000 57 814. 6 9 598. 8 3 084.2 2 126.9 2 145.5 1 301.5 1 160.2 953.7 ⏐ 2001 70 100.5 11 226.7 3 51.0 2 515.2 2 610.4 1 566. 3 1 436.7 1 071.0 ⏐ 2002 80 315.2 11 626.6 4 221.9 2 560. 9 2 785.1 1 638.7 1 589. 7 1 232.9
지방세,2005,566,13. 지방자치단체 지역별 세입결산(일반회계),564 - XI. 재정 ⏐ 13. 지방자치단체 지역별 세입결산(일반회계) ⏐ 단위 : 10억원 ⏐ 전국 서 울 부산 대구 인천 광 주 대 전 울 산 ⏐ Total Seoul Busan Daegu Incheon Gwangju Daejeon Ulsan ⏐ 총 계 ⏐ 1998 62 702.4 8 796.0 2 936.2 2 658.4 2 069.5 1 551. 9 1 190.4 871.6 ⏐ 1999 66 944. 0 9 654.3 3 453.5 2 708.0 2 378.1 1 607.2 1 293.7 1 099.0 ⏐ 2000 거 431.4 10 997.0 3 516.7 2 444. 0 2 540.6 1 607.7 1 375.8 1 191.5 ⏐ 2001 87 084. 4 13 078.6 4 088. 8 2 943.4 3 116.0 1 859.7 1 711.5 1 347.2 ⏐ 2002 106 268.9 14 912.5 5 100.9 3 060.4 3 476.5 2 006.8 1 954.8 1 568.8 ⏐ 2003 120 443.2 17 359.2 5 601.6 3 417.7 3 764.2 2 262.4 2 213.0 1 792.1
지방세,2005,568,14. 지방자치단체 지역별 세출결산(일반회계),566 - XI. 재정 ⏐ 14. 지방자치단체 지역별 세출결산(일반회계) ⏐ 단위: 10억원 ⏐ 전국 서 울 부산 대구 인천 광 주 대 전 울 산 ⏐ Total Seoul Busan Daegu Incheon Gwangju Daejeon Ulsan ⏐ 총 계 ⏐ 1998 51 520. 5 8 119.4 2 631.2 2 219.1 1 757.0 1 226.5 1 048.8 666.6 ⏐ 1999 54 496.7 8 4670 2 993.6 2 279.2 2050.8 1 309.0 1 120.5 855.2 ⏐ 2000 57 814.6 9 598.8 3 0842 2 126.9 2 145.5 1 301.5 1 160.2 953.7 ⏐ 2001 70 100. 5 11 226.7 3 511.0 2 515.2 2 610.4 1 566.3 1 436.7 1 071. 0 ⏐ 2002 80 315.2 11 626.6 4 221.9 2 560.9 2 785.1 1 638. 7 1 589. 7 1 232.9 ⏐ 2003 92 980. 6 13 727.4 4 567.8 2 816.7 3 028. 0 1 856. 0 1823.8 1 429.2
지방세,2006,570,13. 지방자치단체 지역별 세입결산(일반회계),568 - XI. 재정 ⏐ 13. 지방자치단체 지역별 세입결산(일반회계) ⏐ 단위 : 10억원 ⏐ 전 국 서 울 부산 대구 인천 광주 대 전 울 산 ⏐ Total Seoul Busan Daegu Incheon Gwangiu Dacjeon Ulsan ⏐ 총 계 ⏐ 1998 62 702.4 8 796.0 2 936.2 2 658.4 2 069.5 1 551.9 1 190.4 87.6 ⏐ 1999 66 944.0 9 654.3 3 453.5 2 708.0 2 378.1 1 6072 1 293.7 1 099.0 ⏐ 2000 71 431.4 10 997.0 3 516.7 214.0 2540.6 1 607.7 1 375.8 1 191.5 ⏐ 2001 87 084.4 13 078.6 4 088.8 2943.4 3116.0 1 859.7 1 71.5 1 347.8 ⏐ 2002 106 268.9 14 912.5 5 100.9 3 060.4 3 476.5 2 0068 1 954.8 1 568.8 ⏐ 2003 120 443.2 17 359.2 5 601.6 3477 3 764.2 2 262.4 2 213.0 1 792.1
지방세,2006,572,14. 지방자치단체 지역별 세출결산(일반회계),570 - XI. 재정 ⏐ 14. 지방자치단체 지역별 세출결산(일반회계) ⏐ 단위 : 10억원 ⏐ 전 국 서 울 부산 대구 인천 광주 대 전 울 산 ⏐ Total Seoul Busan Daegu Incheon Gwangju Daejeon Ulsan ⏐ 총 계 ⏐ 1998 51 520.5 8 119.4 2 631.2 2 319.1 1 757.0 1 226.5 1 048.8 666.6 ⏐ 1999 54 496.7 8 467.0 2 993.6 2 279.2 2 050.8 1 309.0 1 120.5 855.2 ⏐ 2000 57 814.6 9 598.8 3 084.2 2 126.9 2 145.5 1 301.5 1 160.2 953.7 ⏐ 3001 70 100.5 11 226.7 3 511.0 2 515.2 2 610.4 1 506.3 1 436.7 1 070 ⏐ 2002 80 315.2 11 626.6 4 221.9 2 560.9 2 785.1 1638.7 1 589.7 1 232.9 ⏐ 2003 92 980.6 13 727.4 4 567.8 2816.7 3 028.0 1 856.0 1 823.8 1 429.2
지방세,2007,584,11. 지방자치단체 지역별 세입결산(일반회계),586 - XI. 재정 ⏐ 11. 지방자치단체 지역별 세입결산(일반회계) ⏐ 단위 : 10억원 ⏐ 전국 서 울 부산 대구 인천 광주 대 전 울 산 ⏐ Total Seoul Busan Daegu Incheon Gwangju Daejeon Ulsan ⏐ 총 계 ⏐ 1999 66 944. 0 9 654. 3 3 453.5 2 708.0 2 378. 1 1 607.2 1 293.7 1 099.0 ⏐ 2000 기 431.4 10 997.0 3 516.7 2 444. 0 2 540.6 1 607.7 1 375.8 1 191.5 ⏐ 2001 87 084. 4 13 078.6 4 088.8 2 943.4 3 116.0 1 859.7 1 711.5 1 347.2 ⏐ 2002 106 268.9 14 912.5 s 100.9 3 060.4 3 476.5 2 006.8 1 954.8 1 568.8 ⏐ 2003 120 443.2 17 359.2 5 601.6 3 417.7 3 764.2 2 262.4 2 213.0 1 792.1 ⏐ 2004 119 072.6 18 174.3 5 692.8 3 502. 1 4 086.5 2 445. 9 2 167.6 1 965. 1
지방세,2007,586,12. 지방자치단체 지역별 세출결산(일반회계),"588 - XI. 재정 ⏐ 12. 지방자치단체 지역별 세출결산(일반회계) ⏐ 단위: 10억원 ⏐ 전국 서 울 부산 대구 인천 광 주 대 전 울 산 ⏐ Total Seoul Busan Daegu Incheon Gwangju Daejeon Ulsan ⏐ 총 계 ⏐ 1999 54 496.7 8 467.0 2 993. 6 2 279.2 2 050. 8 1 309.0 1 120.5 855.2 ⏐ 2000 57 814.6 9 598.8 3 084.2 2 126.9 2 145.5 1 301.5 1 160.2 953.7 ⏐ 2001 70 100.5 11 226.7 3 51.0 2 515.2 2 610.4 1 566. 3 1 436.7 1 070 ⏐ 2002 80 315.2 11 626.6 4 221.9 2 560.9 2 785.1 1 638.7 1 589.7 1 232.9 ⏐ 2003 92 980.6 13 727,4 4 567.8 2816.7 3 028.0 1 856.0 1 823.8 1 429.2 ⏐ 2004 96 764. 0 15 76.8 5 002.4 2 973.9 3 465.3 2 138.4 1 856.7 1 560. 8"
