series,edition,page,table,header
사업체,2007,452,3. 시ㆍ도별 사업체수 및 종사자수(2006),"454 - VIII. 총사업체, 도소매 · 서비스업 및 기업경영 ⏐ 3. 시 • 도별 사업체수 및 종사자수(2006) ⏐ ※ 1표 설명문 참조 ⏐ 단위 : 개, 명 ⏐ 전 국 서울특별시 부산광역시 ⏐ The nation Seoul Busan ⏐ 사업체수 종사자수 사업체수 종사자수 사업체수 종사자수 ⏐ 남 여 ⏐ Establish Establish Establish ⏐ -ments Workers Male Female옓 -ments Workers -ments Workers ⏐ 전 산 업 3 226 569 15 435 766 9 153 606 733 759 3 894 666 262 926 1 147 243 ⏐ 농 업 및 임 업 15 323 13 101"
사업체,2008,454,3. 시ㆍ도별 사업체수 및 종사자수(2007),"450 - VII. 총사업체, 도소매• 서비스업 및 기업경영 ⏐ 3. 시 • 도별 사업체수 및 종사자수(2007) ⏐ ※ 1표 설명문 참조 ⏐ 단위 : 개, 명 ⏐ 전 국 서울특별시 부산광역시 ⏐ The nation Seoul Busan ⏐ 사업체수 종사자수 사업체수 종사자수 사업체수 종사자수 ⏐ 남 여 ⏐ Establish ⏐ -ments Workers Male Workers Workers ⏐ 전 산 업 15 928 985 9 417 325 1 156 490 ⏐ 농 업, 임 업 및 어업 21 550 100"
사업체,2009,474,3. 시ㆍ도별 사업체수 및 종사자수(2008),"470 - VII. 총사업체, 도소매• 서비스업 및 기업경영 ⏐ 3. 시 • 도별 사업체수 및 종사자수(2008) ⏐ ※ 1표 설명문 참조 ⏐ 단위 : 개, 명 ⏐ 전 국 서울특별시 부산광역시 ⏐ Whole country Seoul Busan ⏐ 사업체수 종사자수 사업체수 종사자수 사업체수 종사자수 ⏐ 여 ⏐ Establish ⏐ -ments Workers Workers ⏐ 전 산 업 16 288 280 1 165 574 ⏐ 농 업, 임업 및 어업 10 274 90"
사업체,2010,360,3. 시·도별 사업체수 및 종사자수(2009),"356 - V. 총사업체, 광업 및 제조업 ⏐ 3. 시 • 도별 사업체수 및 종사자수(2009) ⏐ ※ 1표 설명문 참조 ⏐ 단위 : 개, 명 ⏐ 전 국 서울특별시 부산광역시 ⏐ Whole country Seoul Busan ⏐ 사업체수 종사자수 사업체수 종사자수 사업체수 종사자수 ⏐ 남 여 ⏐ Establish ⏐ -ments Workers Male Female Workers Workers ⏐ 전 산 업 16 818 015 9 888 360 6 929 655 ⏐ 농 업, 임 업 및 어 업 22 641 6 721 22 587 83"
사업체,2011,364,3. 시ㆍ도별 사업체수 및 종사자수(2009),"360 - V. 총사업체, 광업 및 제조업 ⏐ 3. 시 • 도별 사업체수 및 종사자수(2009) ⏐ ※ 1표 설명문 참조 ⏐ 단위 : 개, 명 ⏐ 전 국 서울특별시 부산광역시 ⏐ Whole country Seoul Busan ⏐ 사업체수 종사자수 사업체수 종사자수 사업체수 종사자수 ⏐ 남 여 ⏐ Number of Number of Number ol Number of Number of Number of ⏐ establishments workers Male Female establishment workers establishments workers ⏐ 전 산 업 32 16 818 015 9 888 360 6 929 655 723 086 259 973 1 182 236 ⏐ 농 업, 임업 및 어 업 22 587 83 2 868"
사업체,2012,364,3. 시·도별 사업체수 및 종사자수(2011),"360 - V. 총사업체, 광업 및 제조업 ⏐ 3. 시 • 도별 사업체수 및 종사자수(2011) ⏐ ※ 1표 설명문 참조 ⏐ 단위 : 개, 명 ⏐ 전 국 서울특별시 부산광역시 ⏐ Whole country Seoul Busan ⏐ 사업체수 종사자수 사업체수 종사자수 사업체수 종사자수 ⏐ 남 여 ⏐ Number of Number of Number of Number of Number Number o ⏐ estabishments workers Male Female estabishments Workers stablishmer worker: ⏐ 전 산 업 3 470 034 18 093 190 10 609 232 7 483 958 752 285 4 498 312 263 356 1 231 887 ⏐ 농 업, 임 업 및 어 업 32 152 8 195 21 369 88 3 489"
사업체,2013,364,3. 시·도별 사업체수 및 종사자수(2012),"360 - V. 총사업체, 광업 및 제조업 ⏐ 3. 시 • 도별 사업체수 및 종사자수(2012) ⏐ ※ 그표 설명문 참조 ⏐ 단위 : 개, 명 ⏐ 전국 서울특별시 부산광역시 대구광역시 ⏐ Whole country Seoul Busan Daegu ⏐ 사업체수 종사자수 사업체수 종사자수 사업체수 종사자수 사업체수 종사자수 ⏐ Number of Number of 남 여 Number of Number of Number of Number of Number of Number of ⏐ establishments workers Male Female establishments workers (chtabishents workers establishments workers ⏐ 전 산 업 3 602 476 18 569 355 10 795 555 7 773 800 780 887 4 541 393 270 058 1 275 945 192 600 833 836 ⏐ 농업, 임업 및 어 업 2451 31 448 23 615 7 833 20 296 90 3 845 ㆅ 277 ⏐ 농 1 721 20 488 14 676 87 아l 38 밀 225"
사업체,2014,364,3. 시·도별 사업체수 및 종사자수(2013),"360 - V. 총사업체, 광업 및 제조업 ⏐ 3. 시 • 도별 사업체수 및 종사자수(2013) ⏐ ※ 그표 설명문 참조 ⏐ 단위: 개, 명 ⏐ 전국 서울특별시 부산광역시 대구광역시 ⏐ Whole country Seoul Busan Daegu ⏐ 사업체수 종사자수 사업체수 종사자수 사업체수 종사자수 사업체수 종사자수 ⏐ Number of Number of 남 여 Number of Number of Number of Number of Number of Number of ⏐ establishments workers Male Female estabishments Workers estabisiments| workers establishents workers ⏐ 전 산 업 3 676 876 19 173 474 11 089 645 8 083 829 785 094 4 585 090 271 983 1 297 862 195 717 849 631 ⏐ 농 업, 임업 및 어업 2 708 34 527 25 444 9 083 18 276 3 159 17 287 ⏐ 농 업 23 004 16 200 6 804 10 55 29 14 241"
사업체,2015,735,3.시·도별 사업체 수 및 종사자 수(2014),"732 - XI. 경기· 기업경영(사업체) ⏐ 3. 시 • 도별 사업체 수 및 종사자 수(2014) ⏐ ※ 1표 설명문 참조 ⏐ 단위: 개, 명 ⏐ 전국 서울특별시 부산광역시 대구광역시 ⏐ Whole country Seoul Busan Daegu ⏐ 사업체수 종사자수 사업체수 종사자수 사업체수 종사자수 사업체수 종사자수 ⏐ Nunbaof Number of 남 ⏐ atbikshmnits workers Male얧 ⏐ 전 산 업 3 812 820 19 899 786 11 503 584 8 396 202 812 798 4 739 883 277 713 1 325 781 198 764 866 599 ⏐ 농업. 임업 및 어 업 36 474 26 834 9 640 14 86 2 681 23 ⏐ 농 업 25 245 17 740 7 505 8 33 6 32 20"
사업체,2016,745,3.시·도별 사업체 수 및 종사자 수(2014),"742- XI. 경기· 기업경영(사업체) ⏐ 3. 시 • 도별 사업체 수 및 종사자 수(2014) ⏐ ※ 1표 설명문 참조 ⏐ 단위: 개, 명 ⏐ 전국 서울특별시 부산광역시 대구광역시 ⏐ Whole county Seoul Busan Daegu ⏐ 사업체수 종사자수 사업체수 종사자수 사업체수 종사자수 사업체수 종사자수 ⏐ Nunbeof Number of 남 ⏐ clcbilhmanls workers Male얧 ⏐ 전 산 업 3,812, 820 19, 899, 786 11, 503, 584 8, 396, 202 812,798 4,739,883 277, 713 1, 325, 781 198, 764 866, 599 ⏐ 농업. 임업 및 어 업 36,474 26, 834 9,640 14 86 2,681 23 ⏐ 농 업 25, 245 17, 740 7,505 8 33 6 32 20"
사업체,2017,527,4.시도별 사업체 수 및 종사자 수(2016),"524 - XI. 경기· 기업경영(사업체) ⏐ 4. 시도별 사업체 수 및 종사자 수(2016) ⏐ * 1표 설명문 참조 ⏐ 단위: 개, 명 ⏐ 전국 서울특별시 부산광역시 대구광역시 ⏐ Whole country Seoul Busan Daegu ⏐ 사업체수 종사자수 사업체수 종사자수 사업체수 종사자수 사업체수 종사자수 ⏐ Nunbaof Number of 남 여 mberof Number of Nunbaof Number of Nuntaof Number c ⏐ sablkshnents workers Male얧 emale atblishnents workers atblishnents workers ctblishnents worke ⏐ 전 산 업 3,950, 192 21, 259, 243 12,194,216 9, 065, 027 820, 156 5, 079, 451 283, 554 1, 408, 615 205, 319 ⏐ 농 업 . 임업 및 어 업 39,741 11, 100 24 79 18 250 ⏐ 농 업 27,130 14 72 14 93 16 234"
사업체,2018,473,3.시도별 사업체 수 및 종사자 수(2017),"470- XI. 경기· 기업경영 ⏐ 3. 시도별 사업체 수 및 종사자 수(2017) (계속) ⏐ ※ 1표 설명문 참조 ⏐ 단위: 개, 명 ⏐ 전국 서울특별시 부산광역시 대구광역시 ⏐ Whole county Seoul Busan Daegu ⏐ 사업체수 종사자수 사업체수 종사자수 사업체수 종사자수 사업체수 종사자수 ⏐ Nunbeof Number of 남 ⏐ stbishmants workers Male ⏐ 전 체 산 업 4,019,872 21, 626,904 12,314, 225 9, 312,679 822,863 5, 119,913 286, 571 1, 424, 317 209, 376 943, 170 ⏐ 농업, 임업 및 어업 3,880 29, 315 11, 327 29 79 15 437 ⏐ 업 2,916 18, 894 8,741 20 15 82 13 207"
사업체,2019,535,3. 시도별 사업체 수 및 종사자 수(2018),"532 - XIII. 경기• 기업경영 ⏐ 3. 시도별 사업체 수 및 종사자 수(2018) (계속) ⏐ ※ 1표 설명문 참조 ⏐ 단위: 개, 명 ⏐ 전국 서울특별시 부산광역시 대구광역시 ⏐ Whole county Seoul Busan Daegu ⏐ 사업체수 종사자수 사업체수 종사자수 사업체수 종사자수 사업체수 종사자수 ⏐ Nunbaof Number of 남 ⏐ sablkshnents workers Male ⏐ 전 체 산 업 4, 103, 172 22, 234, 776 12, 594, 500 9, 640,276 823, 385 5, 210, 936 288,860 1, 442, 115 210, 547 967, 206 ⏐ 농업, 임업 및 어업 4, 261 42,324 30, 382 11,942 30 82 18 318 ⏐ 업 3, 292 28,825 19, 732 9,093 19 21 82 15 199"
사업체,2020,467,3. 시도별 사업체 수 및 종사자 수(2019),"464 - XIII. 기업경영 ⏐ 3. 시도별 사업체 수 및 종사자 수(2019) ⏐ ※ 1표 설명문 참조 ⏐ 단위: 개, 명 ⏐ 전국 서울특별시 부산광역시 대구광역시 ⏐ Whole county Seoul Busan Daegu ⏐ 사업체수 종사자수 사업체수 종사자수 사업체수 종사자수 사업체수 종사자수 ⏐ 남 ⏐ Nunberof Number of ⏐ sablkshnents workers |Male ⏐ 전 체 산 업 4, 176,549 22, 723, 272 12,854, 045 9, 869, 227 823,624 5,226, 997 1,465, ,433 210,944 967,934 ⏐ 농 업, 임업 및 어업 4, 522 43,920 31,887 12,033 24 85 22 414"
사업체,2021,357,3. 시도별 사업체 수 및 종사자 수(2019),"354 - IX. 기업경영 ⏐ 3. 시도별 사업체 수 및 종사자 수(2019) ⏐ ※ 1표 설명문 참조 ⏐ 단위: 개, 명 ⏐ 전 서울특별시 부산광역시 대구광역시 ⏐ Whole country Seoul Busan Daegu ⏐ 사업체수 종사자수 사업체수 종사자수 사업체수 종사자수 사업체수 종사자수 ⏐ Numberof Number of 남 여 ⏐ atabishment Workers Male Female workers etabisimant ⏐ 전 체 산 업 4,176,549 22,723,272 12,854,045 9,869,227 823,624 5,226,997 290,357 1,465,433 210,944 967,934 ⏐ 농.업, 임 업 및 어 업 4,522 43,920 31,887 12,033 24 426 85 3,495 22 ⏐ 농 업 3,506 29,960 20,856 9,104 15 102 22 70"
