계열,판,쪽,표제목,header
사업체,1997,298,3. 시ㆍ도별 사업체수 및 종사자수,"270-M 사업체 총괄, 도소매 및 서비스업 ⏐ 3. 시 •도별 사업체수 및 종사자수 ⏐ 단위 • 개, 명 ⏐ 전 국 서울특별시 부산광역시 대구광역시 ⏐ Entire naton옓 Seoul Metropoltan Clty Pusan Metropoltan Caty Taegu Metropoltan Cty ⏐ 사업체수|총사자수 사업채수|총사자수 사업체수]종사자수 사업채수|총사자수 ⏐ Number of Number of Number of Number of ⏐ establish- Number of estabish- Number of estabish- Number of estabush- Number of ⏐ ments workers ments workers ments workers ments workers ⏐ 전 산 업| 2 771 068 18 634 278 708 025 3 874 597 256 368 1 152 092 166 449 737 394 ⏐ 농업, 수렴 및임 업 1 420 I? 909 89 2 065 136 15 216 ⏐ 농업,수렵업및 관련서비스업 1 344 15 899 84 14 129 14"
사업체,1997,299,3. 시ㆍ도별 사업체수 및 종사자수 (계속),"VII Census of Establishments, Wholesale & Retal Trade and Services - 271 ⏐ 3. Number of Establishments and Persons Engaged by Province ⏐ In each, persons ⏐ 인천광역시 광주광역시 대전광역시 경기 도 ⏐ Inchion Metroooitan Ctty K wang.J Metropoitan Cusy Tacjon Metropoitan Cily Kyinggi Provice즁 ⏐ 사업체수 종사자수 사업체수 종사자수 사업체수 종사자수 사업체수 종사자수 ⏐ Nurber of Number of Number of Number of ⏐ estabash- Number of estabisth- Nurmber ofestabsh- Number of estabishr- Number of ⏐ ments workers ments Workers ments workers ments workers얧 ⏐ 126 670 681 840 77 448 340 554 82 490 372 754 400 281 2 119 626 Al udustnes ⏐ 24 233 10 149 7 165 2 937 Agpculure, huntng and forestry ⏐ 24 125 ? , 8 153 2 175 Ageulure, huntung and related servce actvines"
사업체,1997,300,3. 시ㆍ도별 사업체수 및 종사자수 (계속),"272-W 사업체 총괄, 도소매 및 서비스업 ⏐ 3. 시•도별 사업체수 및 종사자수(계속) ⏐ 단위 개, 명 ⏐ 강원도 충청북도 충청남도 전라북도 ⏐ Kang-won Provice_ Chi ungch ongbuk Provmce Chi ungchongnam Province즁 Chillabuk Province ⏐ 사업체수 종사자수 사업체수 종사자수 사업체수/ 종사자수 사업체수 종사자수 ⏐ Number of Number of Number of Number of ⏐ establsh- Number of establisth- Number ofestablish- Number of estabsh- Number of ⏐ ments Workers Tents Workers ments workers ments workers ⏐ 전 산 업 100 664 404 572 84 876 393 854 107 397 456 807 112 870 467 367 ⏐ 농 업, 수렵 업 및 업 g7 964 85 887 209 2 549 151 1 287 ⏐ 201"
사업체,1997,301,3. 시ㆍ도별 사업체수 및 종사자수 (계속),"ViII Census of Establshments, Wholesale & Retal Trade and Services -273 ⏐ 3. Number of Establishments and Persons Engaged by Province(cont'a) ⏐ In each, persons ⏐ 전라남 도 경 상북도 경 상 남 도 제주도 ⏐ Chollanam Provmce옚 Kyongsangbuk Provnce Kyingsangnam Provmce Cheu Provice옓 ⏐ 사업체수 종사자수 사업체수 종사자수 |사업체수 종사자수 사업체수 종사자수 ⏐ Number of Number of Number of Number of ⏐ estabdsh- Number of establxsh- Number of estabish- Number of estabish- Number of ⏐ ments Workers ments Workers ments Workers ments Workers ⏐ 124 008 510 674 158 693 739 427 288 016 1 241 184 33 718 141 581/Al Industries ⏐ 170 2 352 197 1 800 148 1814 38 456 A &teulture, hunting and forestry ⏐ 2 323 187 8해 1 722 38 456 A gnculure, hunting and related service actyttes"
사업체,1998,318,3. 시ㆍ도별 사업체수 및 종사자수,"280 - VI. 사업체 총괄, 도소매 및 서비스업 ⏐ 3. 시 1 • 도별 사업체수 및 종사자수 ⏐ 단위 : 개, 명 ⏐ 전 국 서울뜩별시 부산광역시 대구광역시 ⏐ Whole Country Seoul Metropolitan City Pusan Metropolitan City Taegu Metropolitan City ⏐ 사업체수 종사자수 사업체수 종사자수 사업체수 | 총사자수 사업체수 | 종사자수 ⏐ Establish- Establish- Establish Establish- ⏐ ments Workers ments Wokers mcnts Wotkers ments Workers ⏐ 진 산 업 2 807 802 14 006 754 699 797 4 045 537 253 355 1 197 990 168 818 736 308 ⏐ 농 업, 수립입 및임 업 2 095 25314 63 1 368 13 107 11 220 ⏐ 농입,수립업 및 관련서비스업 2 000 ~ . a 201 ⏐ 임업,벌 목및관련서비스업 87 6 19"
사업체,1998,319,3. 시ㆍ도별 사업체수 및 종사자수 (계속),"VI. Census of Establishments, Wholesale & Retall Trade and Services - 281 ⏐ •3. Number of Establishments and Persons Engaged by Province ⏐ In cach. pcrson ⏐ 인천광역시 광주광역시 대전광역시 울산광역시 ⏐ Inchon Metropolitan City Kvangju Metopolitan City Tacjon Metopolitan City UIsan Metopoltan Ciy ⏐ 사업체수 | 공사자수 사업제수 종사자수 사업체수 [ 종사자수 사업체수 |종사자수 ⏐ Fstablish- Establish- Establish Establish- ⏐ ments Workers ments Workers ments Workers ments Workers얧 ⏐ 128 737 609 705 79 635 357 169 82 671 376 489 52 532 325 288 All industries ⏐ 26 270 15 217 7 95 ㄱ 104 Agriculure, huning and forestry ⏐ 23 232 14 193 33 101 Agricuiturs, hunting and rchatcd service activities ⏐ 3 38 1 24 62 Forsstry, 1oggin g and related service activites"
사업체,1998,320,3. 시ㆍ도별 사업체수 및 종사자수 (계속),"282 - VI. 사업체 총괄, 도소매 및 서비스업 ⏐ 3. 시 • 도별 사업체수 및 종사자수 (계속) ⏐ 단위 : 기, 밍 ⏐ 경 기 도 강원 도 충청북도 충청남도 ⏐ Kyongegi Kang-won Chungchongbuk Province옓 Chungchongnam Provice ⏐ 사업채수 종사자수 사업체수 종사자수 사업체수 | 종사자수 사업체수 종사자수 ⏐ Establish- Establish- Establish- EsLablish- ⏐ ments Workers ments Workers ments Workers ments Workcrs ⏐ 진 산 입 416 333 2 228 148 102 946 409 922 87 788 408 090 110 428 182 407 ⏐ 놈 업. 수렵업 및 임업 202 2 769 110 955 761 292 3 161 ⏐ 농입,수립업및 관련 서비스업 2 658 98 834 715 282 3 073 ⏐ 임업,벌 목및관련서비스업 10 111 12 121 46 10 88"
사업체,1998,321,3. 시ㆍ도별 사업체수 및 종사자수 (계속),"VI. Census of Establishments, Wholesale & Retail Trade and Services - 283 ⏐ 3. Number of Establishments and Persons Engaged by province (cont'd) ⏐ In each, pcrson ⏐ 전라복도 전라남도 경상목도 경상남도 제 주 도 ⏐ Cholianam Province Chollanam Province | Kyongsangbuk province Kyongsangnam Province Cheju Province ⏐ 사업채수| 종사자수 • 사업채수| 종사자수 사업체수 콩사자수 사업채수|종사자수 사업채수|종사자수 ⏐ Establish-! Establish-옓 Establish- Establish- Estabolish- ⏐ ments Workers mnchts Workers mcnts Workers menls Wotkers ments Workers ⏐ 115 206 480 362 126 921 511 921 163 214 762 164 184 787 903 041 34 634 152 133 All industies ⏐ 201 1 953 222 2 285 231 2 225 207 2 006 397 5 918 Agriculhurs, hunting and forestry ⏐ 191 1 003 315 2 231 216 2 010 2 832 397 5 918 Agiculturc, hunting and related scrvice activitics ⏐ 10 70 ㄱ 51 15 215 - Forestry, logging and related service activites"
사업체,1999,324,3. 시ㆍ도별 사업체수 및 종사자수(1998),"322 * VII. 사업체 총괄, 도소매 및 서비스업 ⏐ 3. 시 • 도별 사업체수 및 종사자수(1998) ⏐ 단위 : 개, 명 ⏐ 전 국 서울특별시 부산광역시 ⏐ Whole County Seoul Metropolitan City Pusan Meropolitan Cisy ⏐ 산업분류 사업체수 중사자수 사업체수 : 종사자수 사업체수 종사자수 ⏐ Establish- 남 여 Establish- Establish- ⏐ ments Wotkers Male Fmale ments Workers ments Workers ⏐ 전 산 업 2 785 659 12 416 5s8 ㄱㄲ ⅞0 4 644 818 663 293 3 378 615 249 677 1 010 408 ⏐ 농업, 수렵업및임 업 2 308 25 571 21 242 4 329 63 926 19 103 ⏐ 농업,수렵업 및 관련서비스업 2 218 24 417 20 372 4 045 798 "" ⏐ 임업.벌 목및관련서비스업 90 1 154 870 284 128"
사업체,1999,325,3. 시ㆍ도별 사업체수 및 종사자수(1998) (계속),"VI. Census of Establishments, Wholesale & Retail Trade and Services -323 ⏐ 3. Number of Establishments and Persons Engaged by Province (1998) ⏐ In each, person ⏐ 대구광역시 인천광역시 광주광역시 대전광역시 울산광역시 ⏐ 사업체수 종사자수 사업제수 종사자수 사업제수종사자수 사업체수|종사자수 사업체수 종사자수 Taegu Metro. City Inchon Mero. City Kwangju Meto. City Tacjon Metro. City Uilsan Meto. City ⏐ Industrial Classification ⏐ Establish- Establish- Establish- Establish- Establish ⏐ ments Workers ments Workers ments Workers얧 ments Workers ments | Workers ⏐ 164 277 625 090 127 645 586 567 79 965 337 337 81 181 338 025 53 088 293 005 A industites ⏐ 14 162 ㄺ 231 15 180 6 15 102 Agriculturc, hunting and foresty늉 ⏐ 26 209 "" 180 { 35 "" 96 Agricuihue, hunting and related service activites ⏐ 45 1 . 16 6 Forestry, loggjin g and related service activites늉"
