연도,국가,국가코드,도시인구비율_퍼센트,지표코드,source_url,retrieved
1994,한국,KOR,77.8585649228147,SP.URB.TOTL.IN.ZS,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.URB.TOTL.IN.ZS?format=json&per_page=300&date=1960:2024,2026-08-19
1995,한국,KOR,78.400437187912,SP.URB.TOTL.IN.ZS,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.URB.TOTL.IN.ZS?format=json&per_page=300&date=1960:2024,2026-08-19
1996,한국,KOR,78.7508147919442,SP.URB.TOTL.IN.ZS,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.URB.TOTL.IN.ZS?format=json&per_page=300&date=1960:2024,2026-08-19
1997,한국,KOR,78.9918025094803,SP.URB.TOTL.IN.ZS,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.URB.TOTL.IN.ZS?format=json&per_page=300&date=1960:2024,2026-08-19
1998,한국,KOR,79.1812369650495,SP.URB.TOTL.IN.ZS,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.URB.TOTL.IN.ZS?format=json&per_page=300&date=1960:2024,2026-08-19
1999,한국,KOR,79.3623394908518,SP.URB.TOTL.IN.ZS,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.URB.TOTL.IN.ZS?format=json&per_page=300&date=1960:2024,2026-08-19
2000,한국,KOR,79.579960745642,SP.URB.TOTL.IN.ZS,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.URB.TOTL.IN.ZS?format=json&per_page=300&date=1960:2024,2026-08-19
2001,한국,KOR,79.8787704357425,SP.URB.TOTL.IN.ZS,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.URB.TOTL.IN.ZS?format=json&per_page=300&date=1960:2024,2026-08-19
2002,한국,KOR,80.2766294544335,SP.URB.TOTL.IN.ZS,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.URB.TOTL.IN.ZS?format=json&per_page=300&date=1960:2024,2026-08-19
2003,한국,KOR,80.707793508044,SP.URB.TOTL.IN.ZS,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.URB.TOTL.IN.ZS?format=json&per_page=300&date=1960:2024,2026-08-19
2004,한국,KOR,81.104386778171,SP.URB.TOTL.IN.ZS,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.URB.TOTL.IN.ZS?format=json&per_page=300&date=1960:2024,2026-08-19
2005,한국,KOR,81.3901352283669,SP.URB.TOTL.IN.ZS,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.URB.TOTL.IN.ZS?format=json&per_page=300&date=1960:2024,2026-08-19
2006,한국,KOR,81.566462110512,SP.URB.TOTL.IN.ZS,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.URB.TOTL.IN.ZS?format=json&per_page=300&date=1960:2024,2026-08-19
2007,한국,KOR,81.712125801927,SP.URB.TOTL.IN.ZS,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.URB.TOTL.IN.ZS?format=json&per_page=300&date=1960:2024,2026-08-19
2008,한국,KOR,81.8350833138518,SP.URB.TOTL.IN.ZS,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.URB.TOTL.IN.ZS?format=json&per_page=300&date=1960:2024,2026-08-19
2009,한국,KOR,81.9245045084002,SP.URB.TOTL.IN.ZS,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.URB.TOTL.IN.ZS?format=json&per_page=300&date=1960:2024,2026-08-19
2010,한국,KOR,81.9685075986486,SP.URB.TOTL.IN.ZS,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.URB.TOTL.IN.ZS?format=json&per_page=300&date=1960:2024,2026-08-19
2011,한국,KOR,81.9615408086376,SP.URB.TOTL.IN.ZS,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.URB.TOTL.IN.ZS?format=json&per_page=300&date=1960:2024,2026-08-19
2012,한국,KOR,81.9087898200378,SP.URB.TOTL.IN.ZS,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.URB.TOTL.IN.ZS?format=json&per_page=300&date=1960:2024,2026-08-19
2013,한국,KOR,81.8269383502703,SP.URB.TOTL.IN.ZS,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.URB.TOTL.IN.ZS?format=json&per_page=300&date=1960:2024,2026-08-19
2014,한국,KOR,81.7315682816954,SP.URB.TOTL.IN.ZS,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.URB.TOTL.IN.ZS?format=json&per_page=300&date=1960:2024,2026-08-19
2015,한국,KOR,81.639489860678,SP.URB.TOTL.IN.ZS,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.URB.TOTL.IN.ZS?format=json&per_page=300&date=1960:2024,2026-08-19
2016,한국,KOR,81.5559241797057,SP.URB.TOTL.IN.ZS,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.URB.TOTL.IN.ZS?format=json&per_page=300&date=1960:2024,2026-08-19
2017,한국,KOR,81.471030429984,SP.URB.TOTL.IN.ZS,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.URB.TOTL.IN.ZS?format=json&per_page=300&date=1960:2024,2026-08-19
